SE,small,0-0,6-0,6-6,0-6
B,1,0,ancientRuins,C1,-1
B,1,1,ancientRuins,C0,-1
B,1,2,ancientRuins,C1,-1
B,1,3,ancientRuins,C0,-1
B,1,4,ancientRuins,C1,-1
B,1,5,ancientRuins,C0,-1
B,1,6,ancientRuins,C1,-1
BG,1,7,ancientRuins,BU0,-1
BG,1,8,ancientRuins,BC0,-1
BG,1,9,ancientRuins,BC0,-1
BG,1,10,ancientRuins,BC1,-1
BG,2,-3,ancientRuins,BC1,-1
BG,2,-2,ancientRuins,BC1,-1
BG,2,-1,ancientRuins,BD0,-1
B,2,0,ancientRuins,C0,-1
B,2,1,ancientRuins,C1,-1
B,2,2,ancientRuins,C1,-1
B,2,3,ancientRuins,C1,-1
B,2,4,ancientRuins,C1,-1
B,2,5,ancientRuins,C1,-1
B,2,6,ancientRuins,C1,-1
BG,2,7,ancientRuins,BU0,-1
BG,2,8,ancientRuins,BC1,-1
BG,2,9,ancientRuins,BC1,-1
BG,2,10,ancientRuins,BC1,-1
BG,3,-3,ancientRuins,BC0,-1
BG,3,-2,ancientRuins,BC1,-1
BG,3,-1,ancientRuins,BD0,-1
B,3,0,ancientRuins,C1,-1
B,3,1,ancientRuins,C0,-1
B,3,2,ancientRuins,C1,-1
B,3,3,ancientRuins,C0,-1
B,3,4,ancientRuins,C1,-1
B,3,5,ancientRuins,C0,-1
B,3,6,ancientRuins,C1,-1
BG,3,7,ancientRuins,BU0,-1
BG,3,8,ancientRuins,BC0,-1
BG,3,9,ancientRuins,BC0,-1
BG,3,10,ancientRuins,BC1,-1
BG,4,-3,ancientRuins,BC0,-1
BG,4,-2,ancientRuins,BC1,-1
BG,4,-1,ancientRuins,BD0,-1
B,4,0,ancientRuins,C1,-1
B,4,1,ancientRuins,C1,-1
B,4,2,ancientRuins,C1,-1
B,4,3,ancientRuins,C1,-1
B,4,4,ancientRuins,C1,-1
B,4,5,ancientRuins,C1,-1
B,4,6,ancientRuins,C1,-1
BG,4,7,ancientRuins,BU0,-1
BG,4,8,ancientRuins,BC1,-1
BG,4,9,ancientRuins,BC0,-1
BG,4,10,ancientRuins,BC0,-1
BG,5,-3,ancientRuins,BC0,-1
BG,5,-2,ancientRuins,BC0,-1
BG,5,-1,ancientRuins,BD0,-1
B,5,0,ancientRuins,C1,-1
B,5,1,ancientRuins,C0,-1
B,5,2,ancientRuins,C1,-1
B,5,3,ancientRuins,C0,-1
B,5,4,ancientRuins,C1,-1
B,5,5,ancientRuins,C1,-1
B,5,6,ancientRuins,C1,-1
BG,5,7,ancientRuins,BU0,-1
BG,5,8,ancientRuins,BC1,-1
BG,5,9,ancientRuins,BC0,-1
BG,5,10,ancientRuins,BC1,-1
BG,6,-3,ancientRuins,BC0,-1
BG,6,-2,ancientRuins,BC1,-1
BG,6,-1,ancientRuins,BD0,-1
B,6,0,ancientRuins,C0,-1
B,6,1,ancientRuins,C1,-1
B,6,2,ancientRuins,C1,-1
B,6,3,ancientRuins,C1,-1
B,6,4,ancientRuins,C0,-1
B,6,5,ancientRuins,C1,-1
B,6,6,ancientRuins,C0,-1
BG,6,7,ancientRuins,BU0,-1
BG,6,8,ancientRuins,BC0,-1
BG,6,9,ancientRuins,BC0,-1
BG,6,10,ancientRuins,BC0,-1
BG,7,-3,ancientRuins,BC0,-1
BG,7,-2,ancientRuins,BC1,-1
BG,7,-1,ancientRuins,BRD,-1
BG,7,0,ancientRuins,BR0,-1
BG,7,1,ancientRuins,BR0,-1
BG,7,2,ancientRuins,BR0,-1
BG,7,3,ancientRuins,BR0,-1
BG,7,4,ancientRuins,BR0,-1
BG,7,5,ancientRuins,BR0,-1
BG,7,6,ancientRuins,BR0,-1
BG,7,7,ancientRuins,BRU,-1
BG,7,8,ancientRuins,BC1,-1
BG,7,9,ancientRuins,BC0,-1
BG,7,10,ancientRuins,BC1,-1
BG,8,-3,ancientRuins,BC0,-1
BG,8,-2,ancientRuins,BC0,-1
BG,8,-1,ancientRuins,BC0,-1
BG,8,0,ancientRuins,BC0,-1
BG,8,1,ancientRuins,BC0,-1
BG,8,2,ancientRuins,BC0,-1
BG,8,3,ancientRuins,BC0,-1
BG,8,4,ancientRuins,BC0,-1
BG,8,5,ancientRuins,BC0,-1
BG,8,6,ancientRuins,BC1,-1
BG,8,7,ancientRuins,BC0,-1
BG,8,8,ancientRuins,BC0,-1
BG,8,9,ancientRuins,BC0,-1
BG,8,10,ancientRuins,BC0,-1
BG,9,-3,ancientRuins,BC1,-1
BG,9,-2,ancientRuins,BC0,-1
BG,9,-1,ancientRuins,BC1,-1
BG,9,0,ancientRuins,BC0,-1
BG,9,1,ancientRuins,BC1,-1
BG,9,2,ancientRuins,BC0,-1
BG,9,3,ancientRuins,BC0,-1
BG,9,4,ancientRuins,BC1,-1
BG,9,5,ancientRuins,BC0,-1
BG,9,6,ancientRuins,BC1,-1
BG,9,7,ancientRuins,BC1,-1
BG,9,8,ancientRuins,BC0,-1
BG,9,9,ancientRuins,BC0,-1
BG,9,10,ancientRuins,BC1,-1
BG,10,-3,ancientRuins,BC0,-1
BG,10,-2,ancientRuins,BC0,-1
BG,10,-1,ancientRuins,BC1,-1
BG,10,0,ancientRuins,BC0,-1
BG,10,1,ancientRuins,BC0,-1
BG,10,2,ancientRuins,BC0,-1
BG,10,3,ancientRuins,BC0,-1
BG,10,4,ancientRuins,BC0,-1
BG,10,5,ancientRuins,BC0,-1
BG,10,6,ancientRuins,BC0,-1
BG,10,7,ancientRuins,BC0,-1
BG,10,8,ancientRuins,BC0,-1
BG,10,9,ancientRuins,BC0,-1
BG,10,10,ancientRuins,BC1,-1
BG,11,-3,ancientRuins,BC1,-1
BG,11,-2,ancientRuins,BC0,-1
BG,11,-1,ancientRuins,BC1,-1
BG,11,0,ancientRuins,BC0,-1
BG,11,1,ancientRuins,BC1,-1
BG,11,2,ancientRuins,BC1,-1
BG,11,3,ancientRuins,BC0,-1
BG,11,4,ancientRuins,BC1,-1
BG,11,5,ancientRuins,BC0,-1
BG,11,6,ancientRuins,BC1,-1
BG,11,7,ancientRuins,BC0,-1
BG,11,8,ancientRuins,BC0,-1
BG,11,9,ancientRuins,BC0,-1
BG,11,10,ancientRuins,BC0,-1
BG,12,-3,ancientRuins,BC0,-1
BG,12,-2,ancientRuins,BC1,-1
BG,12,-1,ancientRuins,BC0,-1
BG,12,0,ancientRuins,BC0,-1
BG,12,1,ancientRuins,BC1,-1
BG,12,2,ancientRuins,BC1,-1
BG,12,3,ancientRuins,BC1,-1
BG,12,4,ancientRuins,BC1,-1
BG,12,5,ancientRuins,BC1,-1
BG,12,6,ancientRuins,BC0,-1
BG,12,7,ancientRuins,BC1,-1
BG,12,8,ancientRuins,BC0,-1
BG,12,9,ancientRuins,BC0,-1
BG,12,10,ancientRuins,BC0,-1
